Manufacturer,Model,Price,Carrosserie,Fuel
Cupra,Born Elektrisch,"€ 549,-",Hatchback (5 deurs),Elektriciteit
Toyota,Corolla Cross Hybrid,"€ 554,-",SUV (5 deurs),Hybride benzine
Opel,Astra PHEV,"€ 559,-",Hatchback (5 deurs),Benzine/Elektriciteit
Kia,EV6 Elektrisch,"€ 559,-",Hatchback (5 deurs),Elektriciteit
Volkswagen,Golf MHEV,"€ 564,-",Hatchback (5 deurs),Benzine
Volkswagen,Golf Variant MHEV,"€ 569,-",Stationwagen (5 deurs),Benzine
Peugeot,e-308 Elektrisch,"€ 569,-",Hatchback (5 deurs),Elektriciteit
Mazda,CX-5 MHEV,"€ 569,-",SUV (5 deurs),Benzine
Hyundai,Tucson MHEV,"€ 574,-",SUV (5 deurs),Benzine
Lynk,& Co 01 PHEV,"€ 574,-",SUV (5 deurs),Benzine
Opel,Astra Sports Tourer PHEV,"€ 579,-",Stationwagen (5 deurs),Benzine /Elektriciteit
BMW,2 Serie Gran Coupé,"€ 579,-",-,-
Peugeot,e-308 SW Elektrisch,"€ 584,-",Stationwagen (5 deurs),Elektriciteit
Peugeot,408,"€ 584,-",Hatchback (5 deurs),Benzine
Renault,Austral Hybrid,"€ 584,-",SUV (5 deurs),Hybride benzine
Peugeot,3008 MHEV,"€ 584,-",SUV (5 deurs),Benzine
Tesla,Model 3 Elektrisch,"€ 589,-",sedan  (4 deurs),Elektriciteit
Peugeot,308 PHEV,"€ 589,-",Hatchback (5 deurs),Elektriciteit / benzine
Peugeot,308 SW PHEV,"€ 594,-",Stationwagen (5 deurs),Elektriciteit / benzine
Peugeot,508 SW,"€ 599,-",-,-
Peugeot,e-3008 Elektrisch,"€ 599,-",SUV (5 deurs),Elektriciteit
BMW,X1,"€ 599,-",-,-
Toyota,Prius PHEV,"€ 599,-",Hatchback (5 deurs),Elektriciteit /  benzine
Skoda,Enyaq Elektrisch,"€ 599,-",SUV (5 deurs),Elektriciteit
DS,4 PHEV,"€ 599,-",Hatchback (5 deurs),Elektriciteit / benzine
Volkswagen,ID.3 Elektrisch,"€ 599,-",Hatchback (5 deurs),Elektriciteit
BMW,iX1 Elektrisch,"€ 609,-",SUV (5 deurs),Elektriciteit
Citroen,C5 Aircross PHEV,"€ 614,-",SUV (5 deurs),Elektriciteit / benzine
Jeep,Renegade PHEV,"€ 619,-",SUV (5 deurs),Elektriciteit / benzine
Jeep,Compass MHEV,"€ 619,-",SUV  (5 deurs),Benzine
Toyota,bZ4X Elektrisch,"€ 619,-",SUV (5 deurs),Elektriciteit
Tesla,Model Y Elektrisch,"€ 619,-",SUV (5 deurs),Elektriciteit
BMW,2 Serie Active Tourer,"€ 619,-",MPV (5 deurs),Benzine
Peugeot,5008,"€ 619,-",SUV (5 deurs),Benzine
Opel,Grandland PHEV,"€ 619,-",SUV (5 deurs),Elektriciteit / benzine
BMW,3 Serie Sedan,"€ 629,-",-,-
Zeekr,X Elektrisch,"€ 629,-",SUV (5 deurs),Elektriciteit
Hyundai,Tucson PHEV,"€ 629,-",SUV (5 deurs),Elektriciteit / benzine
Skoda,Enyaq Coupe Elektrisch,"€ 629,-",SUV (5 deurs),Elektriciteit
Peugeot,408 PHEV,"€ 639,-",Hatchback (5 deurs),Elektriciteit / benzine
Mercedes-Benz,EQA Elektrisch,"€ 639,-",SUV (5 deurs),Elektriciteit
Cupra,Leon PHEV,"€ 639,-",Hatchback (5 deurs),Elektriciteit / benzine
Nissan,QASHQAI Hybrid,"€ 639,-",SUV (5 deurs),Hybride benzine
Mercedes-Benz,B-Klasse MHEV,"€ 639,-",MPV (5 deurs),Benzine
Peugeot,5008 MHEV,"€ 639,-",-,-
Mercedes-Benz,B-Klasse PHEV,"€ 649,-",MPV (5 deurs),Elektriciteit/Benzine
Mercedes-Benz,CLA Coupe MHEV,"€ 649,-",Sedan (4 deurs),Benzine
Seat,Tarraco,"€ 649,-",SUV (5 deurs),Benzine
Ford,Mustang Mach-E Elektrisch,"€ 649,-",SUV (5-deurs),Elektriciteit
Volvo,XC40 Recharge Elektrisch,"€ 649,-",SUV (5 deurs),Elektriciteit
Mazda,6,"€ 649,-",Sedan (5 deurs),Benzine
BMW,2 Serie Active Tourer MHEV,"€ 649,-",MPV (5 deurs),Benzine
